row_id,order_id,order_date,ship_date,ship_mode,customer_id,city,state,product_id,category,sub_category,product_name,sales,quantity,discount,profit
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Houston,Texas,FUR-BO-10002545,Furni,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Houston,Texas,FUR-CH-10004218,Furni,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,
41,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Houston,Texas,TEC-PH-10000486,Tech,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.76
42,CA-2017-120999,09-10-2017,09/15/2017,Standard Class,LC-16930,Naperville,Illinois,TEC-PH-10004093,technologies,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
43,CA-2016-101343,07/17/2016,07/22/2016,Standard Class,RA-19885,Los Angeles,California,OFF-ST-10003479,OfficeSupply,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
44,CA-2017-139619,09/19/2017,09/23/2017,Standard Class,ES-14080,Melbourne,Florida,OFF-ST-10003282,OfficeSupply,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
45,CA-2016-118255,03-11-2016,03/13/2016,First Class,ON-18715,Eagan,Minnesota,TEC-AC-10000171,technologies,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
46,CA-2016-118255,03-11-2016,03/13/2016,First Class,ON-18715,Eagan,Minnesota,OFF-BI-10003291,OfficeSupply,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
47,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Westland,Michigan,OFF-ST-10001713,OfficeSupply,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,
48,CA-2016-169194,06/20/2016,06/25/2016,Standard Class,LH-16900,Dover,Delaware,TEC-AC-10002167,Tech,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
49,CA-2016-169194,06/20/2016,06/25/2016,Standard Class,LH-16900,Dover,Delaware,TEC-PH-10003988,Tech,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.1
50,CA-2015-115742,04/18/2015,04/22/2015,Standard Class,DP-13000,New Albany,Indiana,OFF-BI-10004410,OfficeSupply,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
51,CA-2015-115742,04/18/2015,04/22/2015,Standard Class,DP-13000,New Albany,Indiana,OFF-LA-10002762,OfficeSupply,Labels,Avery 485,75.18,6,0,35.3346
52,CA-2015-115742,04/18/2015,04/22/2015,Standard Class,DP-13000,New Albany,Indiana,FUR-FU-10001706,Furni,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
53,CA-2015-115742,04/18/2015,04/22/2015,Standard Class,DP-13000,New Albany,Indiana,FUR-CH-10003061,Furni,Chairs,"Global Leather Task Chair, Black",89.99,1,0,
54,CA-2016-105816,12-11-2016,12/17/2016,Standard Class,JM-15265,New York City,New York,OFF-FA-10000304,OfficeSupply,Fasteners,Advantus Push Pins,15.26,7,0,6.2566
55,CA-2016-105816,12-11-2016,12/17/2016,Standard Class,JM-15265,New York City,New York,TEC-PH-10002447,technologies,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
56,CA-2016-111682,06/17/2016,06/18/2016,First Class,TB-21055,Troy,New York,OFF-ST-10000604,OfficeSupply,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
57,CA-2016-111682,06/17/2016,06/18/2016,First Class,TB-21055,Troy,New York,OFF-PA-10001569,OfficeSupply,Paper,Xerox 232,32.4,5,0,15.552
58,CA-2016-111682,06/17/2016,06/18/2016,First Class,TB-21055,Troy,New York,FUR-CH-10003968,Furni,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
59,CA-2016-111682,06/17/2016,06/18/2016,First Class,TB-21055,Troy,New York,OFF-PA-10000587,OfficeSupply,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
60,CA-2016-111682,06/17/2016,06/18/2016,First Class,TB-21055,Troy,New York,TEC-AC-10002167,technologies,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
61,CA-2016-111682,06/17/2016,06/18/2016,First Class,TB-21055,Troy,New York,OFF-BI-10001460,OfficeSupply,Binders,Plastic Binding Combs,48.48,4,0.2,16.362
62,CA-2016-111682,06/17/2016,06/18/2016,First Class,TB-21055,Troy,New York,OFF-AR-10001868,OfficeSupply,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Los Angeles,California,TEC-AC-10004633,Tech,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Los Angeles,California,OFF-BI-10001078,OfficeSupply,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Los Angeles,California,OFF-PA-10003892,OfficeSupply,Paper,Xerox 1943,146.73,3,0,68.9631
66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Los Angeles,California,FUR-FU-10000397,Furni,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.33
67,US-2015-164175,04/30/2015,05-05-2015,Standard Class,PS-18970,Chicago,Illinois,FUR-CH-10001146,Furni,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
68,CA-2014-106376,12-05-2014,12-10-2014,Standard Class,BS-11590,Gilbert,Arizona,OFF-AR-10002671,OfficeSupply,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
69,CA-2014-106376,12-05-2014,12-10-2014,Standard Class,BS-11590,Gilbert,Arizona,TEC-PH-10002726,Tech,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
70,CA-2016-119823,06-04-2016,06-06-2016,First Class,KD-16270,Springfield,Virginia,OFF-PA-10000482,OfficeSupply,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,
71,CA-2016-106075,09/18/2016,09/23/2016,Standard Class,HM-14980,New York City,New York,OFF-BI-10004654,OfficeSupply,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
72,CA-2017-114440,09/14/2017,09/17/2017,Second Class,TB-21520,Jackson,Michigan,OFF-PA-10004675,OfficeSupply,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
73,US-2015-134026,04/26/2015,05-02-2015,Standard Class,JE-15745,Memphis,Tennessee,FUR-CH-10000513,Furni,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
74,US-2015-134026,04/26/2015,05-02-2015,Standard Class,JE-15745,Memphis,Tennessee,FUR-FU-10003708,Furni,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
75,US-2015-134026,04/26/2015,05-02-2015,Standard Class,JE-15745,Memphis,Tennessee,OFF-ST-10004123,OfficeSupply,Storage,Safco Industrial Wire Shelving System,72.784,1,,-18.196
76,US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600,Houston,Texas,OFF-BI-10004182,OfficeSupply,Binders,Economy Binders,1.248,3,0.8,-1.9344
77,US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600,Houston,Texas,FUR-FU-10000260,Furni,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,
78,US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600,Houston,Texas,OFF-ST-10000615,OfficeSupply,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
79,US-2014-147606,11/26/2014,12-01-2014,Second Class,JE-15745,Houston,Texas,FUR-FU-10003194,Furni,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
80,CA-2016-127208,06-12-2016,06/15/2016,First Class,SC-20770,Decatur,Alabama,OFF-AP-10002118,OfficeSupply,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032
81,CA-2016-127208,06-12-2016,06/15/2016,First Class,SC-20770,Decatur,Alabama,OFF-BI-10002309,OfficeSupply,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352
82,CA-2014-139451,10-12-2014,10/16/2014,Standard Class,DN-13690,San Francisco,California,OFF-AR-10002053,OfficeSupply,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
83,CA-2014-139451,10-12-2014,10/16/2014,Standard Class,DN-13690,San Francisco,California,OFF-ST-10002370,OfficeSupply,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
84,CA-2015-149734,09-03-2015,09-08-2015,Standard Class,JC-16105,Durham,North Carolina,OFF-EN-10000927,OfficeSupply,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
85,US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,Chicago,Illinois,OFF-ST-10003656,OfficeSupply,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
86,CA-2017-140088,05/28/2017,05/30/2017,Second Class,PO-18865,Columbia,South Carolina,FUR-CH-10000863,Furni,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156
87,CA-2017-155558,10/26/2017,11-02-2017,Standard Class,PG-18895,Rochester,Minnesota,TEC-AC-10001998,Tech,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966
88,CA-2017-155558,10/26/2017,11-02-2017,Standard Class,PG-18895,Rochester,Minnesota,OFF-LA-10000134,OfficeSupply,Labels,Avery 511,6.16,2,0,2.9568
89,CA-2016-159695,04-05-2016,04-10-2016,Second Class,GM-14455,Houston,Texas,OFF-ST-10003442,OfficeSupply,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
90,CA-2016-109806,09/17/2016,09/22/2016,Standard Class,JS-15685,Los Angeles,California,OFF-AR-10004930,OfficeSupply,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
91,CA-2016-109806,09/17/2016,09/22/2016,Standard Class,JS-15685,Los Angeles,California,TEC-PH-10004093,Tech,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782
92,CA-2016-109806,09/17/2016,09/22/2016,Standard Class,JS-15685,Los Angeles,California,OFF-PA-10000304,OfficeSupply,Paper,Xerox 1995,6.48,1,0,3.1104
93,CA-2015-149587,01/31/2015,02-05-2015,Second Class,KB-16315,Minneapolis,Minnesota,OFF-PA-10003177,OfficeSupply,Paper,Xerox 1999,12.96,2,0,6.2208
94,CA-2015-149587,01/31/2015,02-05-2015,Second Class,KB-16315,Minneapolis,Minnesota,FUR-FU-10003799,Furni,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
95,CA-2015-149587,01/31/2015,02-05-2015,Second Class,KB-16315,Minneapolis,Minnesota,OFF-BI-10002852,OfficeSupply,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504
96,US-2017-109484,11-06-2017,11-12-2017,Standard Class,RB-19705,Portland,Oregon,OFF-BI-10004738,OfficeSupply,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
97,CA-2017-161018,11-09-2017,11-11-2017,Second Class,PN-18775,New York City,New York,FUR-FU-10000629,Furni,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
98,CA-2017-157833,06/17/2017,06/20/2017,First Class,KD-16345,San Francisco,California,OFF-BI-10001721,OfficeSupply,Binders,Trimflex Flexible Post Binders,51.312,3,,17.9592
99,CA-2016-149223,09-06-2016,09-11-2016,Standard Class,ER-13855,Saint Paul,Minnesota,OFF-AP-10000358,OfficeSupply,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.59
100,CA-2016-158568,08/29/2016,09-02-2016,Standard Class,RB-19465,Chicago,Illinois,OFF-PA-10003256,OfficeSupply,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
101,CA-2016-158568,08/29/2016,09-02-2016,Standard Class,RB-19465,Chicago,Illinois,TEC-AC-10001767,Tech,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
102,CA-2016-158568,08/29/2016,09-02-2016,Standard Class,RB-19465,Chicago,Illinois,OFF-BI-10002609,OfficeSupply,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
103,CA-2016-129903,12-01-2016,12-04-2016,Second Class,GZ-14470,Rochester,Minnesota,OFF-PA-10004040,OfficeSupply,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208
104,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Aurora,Colorado,TEC-AC-10001552,Tech,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
105,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Aurora,Colorado,FUR-FU-10004006,Furni,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.84
106,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Aurora,Colorado,OFF-BI-10002794,OfficeSupply,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.82
107,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Charlotte,North Carolina,TEC-AC-10003499,technologies,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
108,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Charlotte,North Carolina,TEC-PH-10002844,Tech,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.1
109,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Charlotte,North Carolina,OFF-AR-10000390,OfficeSupply,Art,Newell Chalk Holder,3.304,1,0.2,1.0738
110,CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,Orland Park,Illinois,TEC-AC-10000844,technologies,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992
111,CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805,New York City,New York,FUR-FU-10001934,Furni,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,10.9096
112,CA-2016-128867,11-03-2016,11-10-2016,Standard Class,CL-12565,Urbandale,Iowa,OFF-AR-10000380,OfficeSupply,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788
113,CA-2016-128867,11-03-2016,11-10-2016,Standard Class,CL-12565,Urbandale,Iowa,OFF-BI-10003981,OfficeSupply,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476
114,CA-2014-115259,08/25/2014,08/27/2014,Second Class,RC-19960,Columbus,Ohio,OFF-FA-10000621,OfficeSupply,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348
115,CA-2014-115259,08/25/2014,08/27/2014,Second Class,RC-19960,Columbus,Ohio,OFF-EN-10002600,OfficeSupply,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.65
116,CA-2014-115259,08/25/2014,08/27/2014,Second Class,RC-19960,Columbus,Ohio,OFF-PA-10004965,OfficeSupply,Paper,Xerox 1921,23.976,3,0.2,7.4925
117,CA-2014-115259,08/25/2014,08/27/2014,Second Class,RC-19960,Columbus,Ohio,OFF-EN-10002504,OfficeSupply,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316
118,CA-2015-110457,03-02-2015,03-06-2015,Standard Class,DK-13090,Seattle,Washington,FUR-TA-10001768,Furni,Tables,Hon Racetrack Conference Tables,787.53,3,0,165.3813
119,US-2015-136476,04-05-2015,04-10-2015,Standard Class,GG-14650,Bristol,Tennessee,OFF-BI-10003650,OfficeSupply,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156
120,CA-2016-103730,06-12-2016,06/15/2016,First Class,SC-20725,Wilmington,Delaware,FUR-FU-10002157,Furni,Furnishings,Artistic Insta-Plaque,47.04,3,0,18.3456
121,CA-2016-103730,06-12-2016,06/15/2016,First Class,SC-20725,Wilmington,Delaware,OFF-BI-10003910,OfficeSupply,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0,13.878
122,CA-2016-103730,06-12-2016,06/15/2016,First Class,SC-20725,Wilmington,Delaware,OFF-ST-10000777,OfficeSupply,Storage,"Companion Letter/Legal File, Black",226.56,6,,63.44
123,CA-2016-103730,06-12-2016,06/15/2016,First Class,SC-20725,Wilmington,Delaware,OFF-EN-10002500,OfficeSupply,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,,51.759
124,CA-2016-103730,06-12-2016,06/15/2016,First Class,SC-20725,Wilmington,Delaware,TEC-PH-10003875,technologies,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,,19.7316
125,US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180,Houston,Texas,FUR-CH-10004063,Furni,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
126,US-2014-134614,09/20/2014,09/25/2014,Standard Class,PF-19165,Bloomington,Illinois,FUR-TA-10004534,Furni,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
127,US-2017-107272,11-05-2017,11-12-2017,Standard Class,TS-21610,Phoenix,Arizona,OFF-BI-10003274,OfficeSupply,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,
128,US-2017-107272,11-05-2017,11-12-2017,Standard Class,TS-21610,Phoenix,Arizona,OFF-ST-10002974,OfficeSupply,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
129,US-2016-125969,11-06-2016,11-10-2016,Second Class,LS-16975,Los Angeles,California,FUR-CH-10001146,Furni,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602
130,US-2016-125969,11-06-2016,11-10-2016,Second Class,LS-16975,Los Angeles,California,FUR-FU-10003773,Furni,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,26.2416
131,US-2017-164147,02-02-2017,02-05-2017,First Class,DW-13585,Columbus,Ohio,TEC-PH-10002293,technologies,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994
132,US-2017-164147,02-02-2017,02-05-2017,First Class,DW-13585,Columbus,Ohio,OFF-PA-10002377,OfficeSupply,Paper,Xerox 1916,78.304,2,0.2,29.364
