order_id,order_date,ship_date,ship_mode,customer_id,state,product_id,category,sub_category,sales,quantity,discount,profit
CA-2014-280434,2016-03-05,2016-03-09,Second Class,AR-10510,Pennsylvania,TEC-PH-10003931,Technology,Phones,0.01,6,0,0.004
US-2014-159926,2014-11-18,2014-11-22,Standard Class,CS-11950,Pennsylvania,OFF-BI-10003656,Office Supply,Binders,50.997,1,0,-40.7976
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Minnesota,TEC-AC-10000171,Technology,Accessories,45.98,2,0,19.7714
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Pennsylvania,OFF-BI-10000474,Office Supply,Binders,9.618,2,0.7,-7.0532
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Pennsylvania,OFF-EN-10001509,Office Supply,Envelopes,3.264,2,0.2,1.1016
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Pennsylvania,OFF-AR-10004042,Office Supply,Art,86.304,6,0.2,
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Pennsylvania,OFF-BI-10001525,Office Supply,Binders,6.858,6,0.7,-5.715
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Pennsylvania,OFF-AR-10001683,Office Supply,Art,15.76,2,0.2,3.546
CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Texas,OFF-PA-10000249,Office Supply,Paper,29.472,3,0.2,9.9468
US-2017-388842,2017-10-24,2017-10-30,First Class,MD-17860,Texas,FUR-CH-10002126,Furniture,Chairs,572.3118,8,0,-307.3395
CA-2017-100013,2017-11-06,2017-11-11,Standard Class,ZC-21910,California,OFF-AR-10001022,Office Supply,Art,5.68,2,0,1.7608
CA-2014-107181,2014-02-04,2014-02-08,Standard Class,DB-13270,California,OFF-PA-10000350,Office Supply,Paper,34.24,4,0,16.0928
CA-2016-133697,2016-10-20,2016-10-24,Second Class,CM-12445,Texas,FUR-CH-10002372,Furniture,Chairs,56.686,1,0,-14.5764
CA-2014-756175,2015-10-25,2015-10-27,Second Class,RB-19360,Michigan,FUR-CH-10001146,Furniture,Chairs,665.3732,10,0,-265.9518
CA-2015-134075,2015-12-12,2015-12-16,Standard Class,HA-14905,California,FUR-FU-10004597,Furniture,Furnishings,166.5,3,0,21.645
CA-2016-154403,2016-05-23,2016-05-27,Standard Class,AP-10720,Alabama,OFF-PA-10001526,Office Supply,Paper,4.98,1,0,2.4402
CA-2017-107314,2017-11-30,2017-12-03,First Class,MZ-17335,California,FUR-FU-10003489,Furniture,Furnishings,25.83,3,0,9.5571
US-2014-109456,2014-10-16,2014-10-17,Same Day,LS-17245,California,TEC-AC-10003610,Technology,Accessories,179.97,3,0,86.3856
CA-2016-165995,2016-08-30,2016-09-06,Standard Class,BG-11740,California,FUR-FU-10000672,Furniture,Furnishings,47.04,4,0,15.9936
CA-2017-161557,2017-09-03,2017-09-08,Standard Class,AG-10900,Texas,FUR-FU-10004622,Furniture,Furnishings,108.4,5,0,-105.69
CA-2014-107811,2014-04-29,2014-05-03,Standard Class,LA-16780,Tennessee,FUR-CH-10001394,Furniture,Chairs,561.584,2,0,70.198
CA-2014-165764,2014-11-03,2014-11-07,Standard Class,SH-20395,North Carolina,FUR-FU-10001468,Furniture,Furnishings,410.352,3,0,-51.294
US-2015-362197,2014-03-20,2014-03-25,Second Class,JE-15610,Utah,TEC-PH-10001336,Technology,Phones,882.4253,11,0,-243.4185
US-2015-126977,2015-09-17,2015-09-23,Standard Class,PF-19120,New York,TEC-PH-10002170,Technology,Phones,209.97,3,0,58.7916
CA-2014-111451,2014-12-26,2014-12-28,First Class,KL-16555,Colorado,FUR-FU-10002918,Furniture,Furnishings,218.352,3,0,-24.5646
CA-2015-797866,2017-08-26,2017-08-27,Second Class,NS-18505,Illinois,FUR-CH-10002335,Furniture,Chairs,664.5403,2,0,358.8707
US-2016-118780,2016-09-10,2016-09-14,Second Class,PN-18775,New York,OFF-ST-10000352,Office Supply,Storage,59.48,2,0,8.922
US-2016-118780,2016-09-10,2016-09-14,Second Class,PN-18775,New York,OFF-PA-10000575,Office Supply,Paper,6.69,1,0,3.0774
CA-2017-116953,2017-04-24,2017-04-25,First Class,SV-20935,Arizona,TEC-PH-10004614,Technology,Phones,552,10,0,34.5
CA-2015-309845,2015-12-19,2015-12-21,Standard Class,MC-18130,Arizona,TEC-PH-10002584,Technology,Phones,818.8942,5,0,408.4834
CA-2016-159016,2016-03-10,2016-03-11,First Class,KF-16285,California,TEC-PH-10002885,Technology,Phones,4158.912,8,0,363.9
US-2014-134712,2014-11-29,2014-12-04,Standard Class,BS-11380,Illinois,OFF-FA-10003112,Office Supply,Fasteners,12.624,2,0,3.945
CA-2016-166912,2016-01-15,2016-01-17,First Class,BE-11335,New York,OFF-PA-10001033,Office Supply,Paper,81.98,2,0,40.1702
US-2017-133361,2017-05-14,2017-05-17,First Class,AJ-10780,Maryland,FUR-CH-10003298,Furniture,Chairs,261.96,2,0,23.5764
CA-2016-163804,2016-12-02,2016-12-08,Standard Class,DB-13270,Rhode Island,FUR-FU-10004864,Furniture,Furnishings,72.42,6,0,23.8986
CA-2015-111829,2015-03-19,2015-03-20,First Class,FH-14365,Washington,OFF-PA-10004359,Office Supply,Paper,209.7,2,0,100.656
US-2017-132444,2017-11-18,2017-11-21,First Class,CD-12280,Washington,OFF-ST-10003442,Office Supply,Storage,169.68,6,0,-6927
CA-2015-815620,2016-04-01,2016-04-06,Standard Class,LW-16990,Wisconsin,FUR-FU-10003623,Furniture,Furnishings,427.8969,1,0,218.5136
CA-2014-937599,2014-04-05,2014-04-08,Second Class,PO-19180,Michigan,FUR-FU-10001379,Furniture,Furnishings,0.01,13,0,-0.0018
CA-2017-113908,2017-06-03,2017-06-09,Standard Class,KN-16390,New York,FUR-TA-10001932,Furniture,Tables,384.768,2,0,-115.4304
CA-2017-148929,2017-09-07,2017-09-11,Standard Class,SP-20620,New York,OFF-ST-10003282,Office Supply,Storage,478.08,8,0,133.86
CA-2014-107755,2014-02-07,2014-02-12,Standard Class,CK-12760,New Jersey,TEC-AC-10000710,Technology,Accessories,115.36,7,0,49.6048
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Arizona,OFF-AR-10002671,Office Supply,Art,1113.024,8,0.2,111.3024
US-2017-139465,2017-08-27,2017-08-30,First Class,MR-17545,New York,TEC-PH-10000455,Technology,Phones,347.97,3,0,100.9113
CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,Michigan,OFF-ST-10000642,Office Supply,Storage,83.92,4,0,5.8744
CA-2015-132570,2015-10-31,2015-11-02,Second Class,KT-16480,New York,OFF-AR-10000369,Office Supply,Art,2.78,2,0,0.7228
CA-2015-122259,2015-10-31,2015-11-04,Standard Class,HP-14815,Michigan,OFF-SU-10002573,Office Supply,Supplies,70.12,4,0,21.036
US-2016-156986,2016-03-20,2016-03-24,Standard Class,ZC-21910,Oregon,OFF-PA-10002005,Office Supply,Paper,20.736,4,0.2,7.2576
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Minnesota,TEC-AC-10001998,Technology,Accessories,19.99,1,0,6.7966
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,California,TEC-PH-10004093,Technology,Phones,73.584,2,0.2,8.2782
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Illinois,TEC-AC-10001767,Technology,Accessories,95.976,3,0.2,-10.7973
US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Colorado,TEC-AC-10001552,Technology,Accessories,238.896,6,0.2,-26.8758
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,North Carolina,TEC-PH-10002844,Technology,Phones,27.992,1,0.2,2.1
CA-2017-148922,2017-12-10,2017-12-15,Second Class,SU-20665,Mississippi,TEC-PH-10000148,Technology,Phones,38.97,3,0,
CA-2015-141145,2015-09-17,2015-09-23,Standard Class,DB-13405,Florida,TEC-AC-10001465,Technology,Accessories,87.168,3,0.2,10.896
CA-2015-169796,2015-11-09,2015-11-14,Standard Class,Dp-13240,New York,TEC-MA-10000045,Technology,Machines,2321.9,2,0,1114.512
CA-2015-102876,2015-09-07,2015-09-14,Standard Class,LR-17035,Pennsylvania,TEC-PH-10002680,Technology,Phones,791.964,6,0.4,-131.994
CA-2014-153850,2014-11-24,2014-11-29,Standard Class,TH-21100,Ohio,TEC-PH-10002584,Technology,Phones,1502.376,4,0.4,
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,Delaware,TEC-PH-10003875,Technology,Phones,68.04,7,0,19.7316
CA-2014-154963,2014-06-22,2014-06-27,Standard Class,AA-10645,Pennsylvania,FUR-CH-10004698,Furniture,Chairs,170.058,3,0,
CA-2015-103135,2015-07-24,2015-07-28,Standard Class,SS-20515,Kentucky,FUR-FU-10001487,Furniture,Furnishings,20.94,3,0,
CA-2017-100111,2017-09-20,2017-09-26,Standard Class,SV-20365,New York,TEC-PH-10000215,Technology,Phones,104.85,3,0,28.3095
CA-2017-100111,2017-09-20,2017-09-26,Standard Class,SV-20365,New York,TEC-AC-10002647,Technology,Accessories,212.8,2,0,
CA-2015-143077,2015-09-17,2015-09-21,Standard Class,SF-20965,Texas,OFF-BI-10000088,Office Supply,Binders,6.588,3,0,-10.2114
CA-2014-113880,2014-03-01,2014-03-05,Standard Class,VF-21715,Illinois,FUR-CH-10000863,Furniture,Chairs,634.116,6,0,-172.1172
CA-2015-166947,2015-06-05,2015-06-10,Standard Class,EB-13750,New York,FUR-CH-10004997,Furniture,Chairs,1522.638,9,0,169.182
CA-2015-148376,2015-12-27,2015-12-31,Standard Class,AG-10900,California,OFF-AP-10000240,Office Supply,Appliances,106.96,2,0,31.0184
CA-2014-139857,2014-02-02,2014-02-06,Standard Class,CD-12790,California,OFF-FA-10001843,Office Supply,Fasteners,12.35,5,0,5.8045
CA-2014-154095,2014-12-02,2014-12-07,Standard Class,ON-18715,Maryland,FUR-CH-10004754,Furniture,Chairs,239.84,8,0,64.7568
CA-2016-133669,2016-10-21,2016-10-27,Standard Class,SV-20935,Ohio,TEC-PH-10001305,Technology,Phones,235.152,8,0,-47.0304
CA-2016-105081,2016-12-25,2016-12-30,Standard Class,JE-15715,Washington,FUR-CH-10000847,Furniture,Chairs,698.352,3,0,52.38
CA-2016-160220,2016-10-20,2016-10-26,Standard Class,JS-16030,Michigan,TEC-PH-10001300,Technology,Phones,125.7,6,0,35.196
US-2017-142188,2017-09-11,2017-09-11,Same Day,JF-15415,Washington,TEC-PH-10000127,Technology,Phones,79.96,5,0,-17.991
CA-2015-127453,2015-12-19,2015-12-20,First Class,JK-15370,Pennsylvania,OFF-AP-10003860,Office Supply,Appliances,88.832,4,0,7.77
CA-2015-135510,2015-09-05,2015-09-12,Standard Class,TW-21025,Virginia,FUR-FU-10000820,Furniture,Furnishings,67.96,4,0,12.2328
CA-2017-145429,2017-07-21,2017-07-25,Standard Class,SW-20455,California,FUR-CH-10000988,Furniture,Chairs,225.296,2,0,22.5296
CA-2015-130659,2015-12-04,2015-12-09,Second Class,MS-17365,New York,OFF-EN-10004147,Office Supply,Envelopes,17.94,3,0,8.7906
CA-2015-123141,2015-11-14,2015-11-19,Standard Class,GZ-14470,New Mexico,FUR-CH-10001891,Furniture,Chairs,230.352,3,0,20.1558
CA-2017-101483,2017-07-29,2017-08-01,Second Class,AG-10675,North Carolina,OFF-AP-10002082,Office Supply,Appliances,34.848,2,0,6.534
US-2014-150119,2014-04-23,2014-04-27,Standard Class,LB-16795,Ohio,OFF-BI-10000145,Office Supply,Binders,7.488,8,0,-5.2416
CA-2016-508237,2017-08-27,2017-09-02,First Class,GK-14620,New Jersey,FUR-BO-10003450,Furniture,Bookcases,0.01,12,0,-0.0016
CA-2017-143112,2017-10-05,2017-10-09,Standard Class,TS-21370,New York,TEC-MA-10001047,Technology,Machines,5199.96,4,0,1351.9896
US-2014-157406,2014-04-25,2014-04-29,Standard Class,DA-13450,Texas,OFF-PA-10003543,Office Supply,Paper,10.368,2,0,3.6288
CA-2017-156237,2017-09-14,2017-09-15,First Class,PS-18760,Pennsylvania,FUR-CH-10002372,Furniture,Chairs,113.372,2,0,-29.1528
US-2017-104661,2017-01-15,2017-01-18,First Class,TB-21250,Texas,TEC-AC-10002331,Technology,Accessories,62.592,8,0,13.3008
CA-2015-156328,2015-11-30,2015-12-05,Standard Class,RM-19375,North Carolina,TEC-PH-10001198,Technology,Phones,177.48,3,0,19.9665
US-2015-107349,2015-07-13,2015-07-15,First Class,SL-20155,Texas,OFF-BI-10001765,Office Supply,Binders,41.568,6,0,-66.5088
CA-2017-163860,2017-12-28,2018-01-01,Standard Class,LO-17170,Illinois,FUR-FU-10001935,Furniture,Furnishings,2.96,2,0,-1.406
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,North Carolina,TEC-AC-10003499,Technology,Accessories,74.112,8,0.2,17.6016
CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,Illinois,TEC-AC-10000844,Technology,Accessories,339.96,5,0.2,67.992
US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,Ohio,TEC-PH-10002293,Technology,Phones,59.97,5,0.4,-11.994
CA-2017-158379,2017-09-22,2017-09-26,Second Class,JA-15970,Pennsylvania,TEC-AC-10002926,Technology,Accessories,79.984,2,0.2,
CA-2014-139017,2014-05-11,2014-05-17,Standard Class,RM-19375,Texas,TEC-AC-10001013,Technology,Accessories,46.864,2,0.2,
CA-2016-129686,2016-11-27,2016-11-29,Second Class,GG-14650,Illinois,TEC-AC-10001266,Technology,Accessories,62.4,6,0.2,19.5
CA-2017-166317,2017-09-22,2017-09-26,Standard Class,JE-15610,Wisconsin,TEC-AC-10004510,Technology,Accessories,98.16,6,0,9.816
CA-2015-134894,2015-12-07,2015-12-11,Standard Class,DK-12985,Kentucky,OFF-AP-10001271,Office Supply,Appliances,152.94,3,0,41.2938
US-2015-120161,2015-12-18,2015-12-23,Standard Class,LM-17065,Ohio,OFF-ST-10001809,Office Supply,Storage,646.776,9,0.2,
CA-2014-154963,2014-06-22,2014-06-27,Standard Class,AA-10645,Pennsylvania,FUR-CH-10000454,Furniture,Chairs,853.93,5,0.3,0
CA-2017-130764,2017-10-27,2017-10-28,First Class,JO-15145,California,FUR-BO-10003034,Furniture,Bookcases,556.665,5,0.15,6.549
CA-2017-124296,2017-12-24,2017-12-28,Standard Class,CS-12355,Louisiana,FUR-CH-10002439,Furniture,Chairs,232.88,4,0,60.5488
US-2014-140452,2014-12-06,2014-12-10,Standard Class,BK-11260,Illinois,FUR-FU-10002088,Furniture,Furnishings,10.776,3,0.6,-4.8492
CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,North Carolina,OFF-EN-10000927,Office Supply,Envelopes,200.984,7,0.2,62.8075
US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Illinois,OFF-ST-10003656,Office Supply,Storage,230.376,3,0.2,-48.9549
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Minnesota,OFF-LA-10000134,Office Supply,Labels,6.16,2,0,2.9568
CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,Texas,OFF-ST-10003442,Office Supply,Storage,158.368,7,0.2,13.8572
CA-2017-115651,2017-07-09,2017-07-12,First Class,NS-18640,Illinois,OFF-AR-10001130,Office Supply,Art,8.84,5,0,2.9835
US-2017-116897,2017-05-27,2017-05-29,First Class,JG-15160,Idaho,TEC-PH-10004389,Technology,Phones,302.376,3,0,22.6782
CA-2015-105347,2015-11-24,2015-11-28,Standard Class,DP-13000,California,OFF-AR-10003045,Office Supply,Art,14.7,5,0,6.615
CA-2016-124667,2016-11-11,2016-11-16,Standard Class,BD-11770,New York,OFF-ST-10002276,Office Supply,Storage,83.36,1,0,20.84
CA-2016-116540,2016-09-02,2016-09-02,Same Day,SS-20590,Wisconsin,OFF-BI-10004970,Office Supply,Binders,8.26,2,0,3.8822
CA-2017-111262,2017-10-28,2017-11-01,Second Class,KH-16510,Texas,TEC-AC-10004510,Technology,Accessories,26.176,2,0,-3.272
CA-2016-121034,2016-08-08,2016-08-10,Second Class,JF-15565,Texas,OFF-FA-10000585,Office Supply,Fasteners,11.168,4,0,3.6296
US-2015-165512,2015-05-24,2015-05-26,Second Class,VS-21820,Illinois,FUR-CH-10002880,Furniture,Chairs,602.651,7,0,-163.5767
CA-2016-160535,2016-11-25,2016-11-30,Standard Class,BP-11050,New Jersey,TEC-MA-10004255,Technology,Machines,319.92,8,0,118.3704
CA-2015-160472,2015-07-20,2015-07-25,Second Class,RK-19300,Indiana,OFF-ST-10000464,Office Supply,Storage,34.76,1,0,9.7328
US-2017-656669,2015-09-07,2015-09-07,Second Class,AS-10045,Georgia,TEC-AC-10003174,Technology,Accessories,0.01,5,0,0.0015
CA-2015-864907,2015-04-20,2015-04-21,First Class,KN-16450,Illinois,TEC-CO-10001046,Technology,Copiers,159.7916,1,0,-23.0139
CA-2015-144099,2015-11-29,2015-11-30,Same Day,PO-19195,California,OFF-BI-10001078,Office Supply,Binders,4.304,1,0,1.5602
CA-2017-168858,2017-11-19,2017-11-23,Standard Class,JD-16150,New York,OFF-AP-10003849,Office Supply,Appliances,2504.74,7,0,626.185
CA-2017-119494,2017-11-09,2017-11-13,Standard Class,JE-15610,California,FUR-CH-10004675,Furniture,Chairs,523.392,3,0,52.3392
US-2014-100585,2014-03-05,2014-03-07,First Class,AD-10180,New York,FUR-CH-10003956,Furniture,Chairs,1657.379,8,0,26.7776
US-2016-150567,2016-05-17,2016-05-21,Standard Class,RP-19855,Florida,OFF-BI-10001757,Office Supply,Binders,2.952,2,0,-2.1648
US-2016-537888,2014-10-03,2014-10-09,Standard Class,FM-14215,Illinois,TEC-AC-10001767,Technology,Accessories,523.5443,1,0,
CA-2016-123946,2016-09-12,2016-09-17,Standard Class,AJ-10795,Virginia,TEC-AC-10004877,Technology,Accessories,20.7,3,0,1.656
CA-2017-144064,2017-08-29,2017-09-01,First Class,CP-12085,Illinois,OFF-BI-10002012,Office Supply,Binders,3.24,9,0,-5.18
CA-2016-165470,2016-11-25,2016-11-30,Standard Class,HJ-14875,Florida,OFF-PA-10004675,Office Supply,Paper,5.08,1,0,1.651
US-2016-567165,2015-11-09,2015-11-15,Same Day,JK-15625,Washington,FUR-TA-10001771,Furniture,Tables,0.01,5,0,-0.0021
US-2015-707407,2014-06-01,2014-06-03,Same Day,JK-15640,Alabama,TEC-PH-10000912,Technology,Phones,48.9186,5,0,-9.2219
CA-2016-144911,2016-11-27,2016-11-30,First Class,RW-19630,Kansas,OFF-BI-10000977,Office Supply,Binders,152,5,0,69.92
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,California,OFF-AR-10004930,Office Supply,Art,20.1,3,0,6.633
US-2016-156986,2016-03-20,2016-03-24,Standard Class,ZC-21910,Oregon,OFF-BI-10002498,Office Supply,Binders,16.821,3,0.7,-12.8961
US-2016-156986,2016-03-20,2016-03-24,Standard Class,ZC-21910,Oregon,OFF-PA-10004101,Office Supply,Paper,10.368,2,0.2,3.6288
CA-2014-135405,2014-01-09,2014-01-13,Standard Class,MS-17830,Texas,OFF-AR-10004078,Office Supply,Art,9.344,2,0.2,
CA-2014-131450,2014-08-08,2014-08-15,Standard Class,LR-16915,California,OFF-AP-10004708,Office Supply,Appliances,76.12,2,0,22.0748
CA-2017-121818,2017-11-20,2017-11-21,First Class,JH-15430,North Carolina,OFF-AR-10000203,Office Supply,Art,23.968,7,0.2,
CA-2017-121818,2017-11-20,2017-11-21,First Class,JH-15430,North Carolina,OFF-AR-10004790,Office Supply,Art,28.728,3,0.2,1.7955
CA-2017-101049,2017-06-21,2017-06-25,Second Class,AS-10240,Ohio,OFF-BI-10001510,Office Supply,Binders,41.256,6,0.7,-34.38
CA-2016-106530,2016-05-08,2016-05-08,Same Day,CL-12565,Ohio,OFF-ST-10002011,Office Supply,Storage,1006.056,3,0.2,88.0299
CA-2016-106530,2016-05-08,2016-05-08,Same Day,CL-12565,Ohio,OFF-PA-10002986,Office Supply,Paper,10.688,2,0.2,3.7408
CA-2016-106530,2016-05-08,2016-05-08,Same Day,CL-12565,Ohio,OFF-PA-10004451,Office Supply,Paper,10.368,2,0.2,3.6288
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Wisconsin,TEC-PH-10000215,Technology,Phones,384.45,11,0,103.8015
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,Wisconsin,TEC-PH-10001448,Technology,Phones,149.97,3,0,5.9988
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Texas,TEC-PH-10003931,Technology,Phones,143.976,3,0.2,8.9985
CA-2014-116568,2014-12-14,2014-12-20,Standard Class,BM-11785,Florida,FUR-CH-10002439,Furniture,Chairs,186.304,4,0.2,13.9728
CA-2015-153073,2015-11-13,2015-11-13,Same Day,HA-14905,Illinois,FUR-FU-10001025,Furniture,Furnishings,17.496,9,0.6,-7.4358
CA-2017-107244,2017-09-07,2017-09-11,Standard Class,AG-10390,California,FUR-FU-10002597,Furniture,Furnishings,19.76,4,0,8.2992
CA-2015-100657,2015-11-02,2015-11-07,Standard Class,SW-20245,New York,FUR-CH-10003535,Furniture,Chairs,109.764,2,0.1,8.5372
CA-2017-129028,2017-04-01,2017-04-03,First Class,GB-14530,South Carolina,FUR-FU-10004006,Furniture,Furnishings,127.95,3,0,21.7515
CA-2015-129112,2015-11-29,2015-11-30,First Class,AW-10840,Texas,OFF-BI-10000088,Office Supply,Binders,8.784,4,0.8,-13.6152
US-2017-152002,2017-06-11,2017-06-11,Same Day,DV-13465,California,OFF-PA-10000357,Office Supply,Paper,122.97,3,0,60.2553
CA-2017-165029,2017-11-26,2017-11-30,Standard Class,AH-10075,Georgia,OFF-AR-10003504,Office Supply,Art,12.84,3,0,3.7236
CA-2016-109827,2016-12-25,2017-01-01,Standard Class,LW-16825,Arizona,TEC-AC-10002217,Technology,Accessories,45.12,3,0.2,-7.896
